NO_OF_FRAMES	116
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	512.770	1062.522	1222.458	408.531	1044.412	1226.032	436.975	1293.187	1233.689	490.429	1325.407	1129.263	652.283	1131.698	1026.381	262.650	1415.725	1071.451	652.479	1076.413	695.789	127.578	1321.181	730.915	574.611	893.039	793.693	201.465	1116.855	801.002	534.129	1461.588	595.125	612.889	1211.110	608.236	288.727	1368.006	620.902	405.834	860.506	1395.976	303.089	1061.779	677.841	717.286	724.129	826.711	1536.890	591.264	1217.714	1504.309	700.593	1196.702	1731.756	711.423	1228.069	1795.221	690.314	1076.763	1687.160	466.387	1007.555	1686.621	902.486	1048.721	1548.112	374.101	728.328	1491.305	928.305	779.578	1371.219	363.218	847.472	1401.395	758.825	885.778	1851.466	704.919	588.376	1675.817	524.662	597.830	1657.295	882.116	602.368	1525.548	430.642	1473.294	1404.441	632.251	758.744	1269.319	198.158	942.654	1558.417	-655.653	1236.875	1576.887	-528.348	1229.783	1790.334	-611.372	1214.595	1797.626	-714.045	1107.044	1559.836	-779.645	1018.800	1882.185	-458.620	1072.372	1467.541	-702.553	712.265	1773.847	-256.564	869.605	1271.668	-608.199	780.851	1560.161	-315.634	899.631	1872.235	-734.428	621.010	1626.199	-759.194	608.270	1846.144	-481.841	609.847	1278.778	-759.059	1311.568	1514.823	-368.104	738.002	1031.929	-690.316	795.762	571.208	-1388.494	1186.186	755.568	-1394.779	1163.194	642.198	-1599.647	1221.102	685.837	-1660.602	1077.012	424.882	-1625.016	1013.736	888.092	-1490.537	983.374	309.044	-1582.255	705.975	950.539	-1353.932	663.970	399.620	-1442.935	886.263	814.513	-1211.926	788.563	720.648	-1831.134	516.390	490.603	-1752.884	567.344	898.302	-1638.929	567.418	131.070	-1082.238	815.914	827.624	-1135.553	729.642	   NaN	   NaN	   NaN
2	0.02000	512.106	1062.164	1222.421	407.803	1044.389	1225.944	436.985	1293.072	1233.619	490.596	1325.152	1129.258	651.857	1130.880	1026.342	263.074	1415.812	1071.637	651.696	1075.961	695.599	126.699	1320.400	731.976	573.183	891.814	793.561	201.035	1116.322	802.295	534.205	1461.478	595.039	612.853	1211.078	608.058	288.800	1367.992	620.933	413.188	861.792	1395.302	301.208	1061.303	678.019	715.110	722.985	826.154	1536.607	591.791	1218.361	1504.552	701.446	1197.521	1732.233	710.840	1228.033	1795.223	689.879	1076.723	1686.176	466.413	1007.486	1687.448	902.494	1048.940	1546.603	374.584	728.421	1492.224	929.247	779.875	1369.665	364.521	847.594	1401.749	760.125	886.094	1851.507	704.942	588.351	1675.829	524.709	597.847	1657.410	882.206	602.388	1525.619	431.867	1473.526	1404.108	633.439	759.025	1267.257	199.899	942.722	1558.291	-655.841	1236.939	1576.734	-528.315	1229.683	1790.209	-611.262	1214.620	1797.546	-713.974	1107.069	1559.757	-779.597	1018.838	1882.014	-458.562	1072.417	1467.479	-702.497	712.276	1773.193	-256.621	869.852	1271.638	-608.044	780.826	1559.663	-316.207	900.088	1872.166	-734.395	621.054	1626.180	-759.186	608.275	1846.136	-481.802	609.838	1279.866	-760.649	1311.894	1514.244	-368.531	738.447	1031.877	-690.135	795.711	571.191	-1388.453	1186.141	755.542	-1394.747	1163.164	642.197	-1599.620	1221.099	685.818	-1660.599	1077.004	424.869	-1624.998	1013.727	888.102	-1490.568	983.375	309.030	-1582.198	705.973	950.616	-1354.026	663.947	399.627	-1442.914	886.270	814.680	-1211.921	788.553	720.643	-1831.130	516.398	490.584	-1752.876	567.348	898.304	-1638.941	567.408	131.313	-1081.661	816.191	827.806	-1135.591	729.598	   NaN	   NaN	   NaN
3	0.03000	511.465	1061.813	1222.385	407.097	1044.360	1225.859	436.991	1292.958	1233.545	490.760	1324.895	1129.256	651.430	1130.058	1026.283	263.491	1415.906	1071.829	650.913	1075.507	695.413	125.839	1319.693	733.022	571.780	890.635	793.402	200.610	1115.790	803.576	534.269	1461.387	594.970	612.814	1211.046	607.906	288.869	1367.979	620.963	420.426	863.070	1394.616	299.358	1060.845	678.200	712.973	721.900	825.619	1536.298	592.328	1219.004	1504.813	702.324	1198.329	1732.733	710.262	1227.998	1795.234	689.424	1076.691	1685.194	466.442	1007.415	1688.274	902.482	1049.168	1545.087	375.065	728.516	1493.133	930.191	780.192	1368.119	365.819	847.710	1402.092	761.414	886.423	1851.548	704.969	588.327	1675.839	524.762	597.863	1657.521	882.295	602.402	1525.697	433.059	1473.746	1403.760	634.624	759.307	1265.172	201.668	942.822	1558.149	-656.120	1237.034	1576.579	-528.283	1229.579	1790.083	-611.150	1214.647	1797.468	-713.904	1107.092	1559.681	-779.547	1018.868	1881.848	-458.510	1072.463	1467.422	-702.437	712.285	1772.552	-256.687	870.078	1271.610	-607.892	780.806	1559.183	-316.767	900.529	1872.104	-734.364	621.094	1626.162	-759.179	608.278	1846.126	-481.765	609.824	1280.941	-762.205	1312.224	1513.675	-368.953	738.881	1031.826	-689.948	795.667	571.172	-1388.415	1186.097	755.515	-1394.714	1163.138	642.194	-1599.591	1221.100	685.801	-1660.598	1076.998	424.856	-1624.982	1013.718	888.112	-1490.597	983.378	309.020	-1582.142	705.970	950.691	-1354.119	663.926	399.635	-1442.892	886.276	814.847	-1211.915	788.543	720.636	-1831.124	516.407	490.566	-1752.867	567.353	898.305	-1638.952	567.397	131.556	-1081.069	816.483	827.988	-1135.627	729.556	   NaN	   NaN	   NaN
4	0.04000	510.855	1061.466	1222.350	406.421	1044.319	1225.778	436.991	1292.841	1233.462	490.919	1324.629	1129.259	650.996	1129.226	1026.197	263.899	1416.010	1072.035	650.121	1075.044	695.236	124.992	1319.081	734.067	570.412	889.516	793.210	200.182	1115.276	804.861	534.314	1461.324	594.925	612.772	1211.014	607.807	288.930	1367.967	620.990	427.514	864.354	1393.908	297.543	1060.410	678.403	710.891	720.902	825.122	1535.927	592.900	1219.642	1505.117	703.265	1199.121	1733.273	709.662	1227.955	1795.261	688.928	1076.673	1684.205	466.472	1007.342	1689.110	902.436	1049.416	1543.535	375.556	728.615	1494.030	931.147	780.555	1366.564	367.107	847.818	1402.420	762.697	886.781	1851.588	705.002	588.305	1675.848	524.824	597.877	1657.627	882.383	602.405	1525.787	434.202	1473.947	1403.380	635.820	759.596	1263.016	203.511	942.985	1557.980	-656.521	1237.164	1576.421	-528.252	1229.467	1789.956	-611.038	1214.679	1797.393	-713.838	1107.113	1559.609	-779.491	1018.888	1881.688	-458.467	1072.507	1467.375	-702.372	712.293	1771.928	-256.764	870.277	1271.587	-607.746	780.795	1558.728	-317.308	900.944	1872.054	-734.335	621.127	1626.148	-759.173	608.279	1846.113	-481.732	609.802	1281.996	-763.711	1312.563	1513.118	-369.372	739.300	1031.774	-689.751	795.636	571.147	-1388.381	1186.054	755.489	-1394.681	1163.116	642.189	-1599.559	1221.106	685.785	-1660.599	1076.993	424.844	-1624.968	1013.710	888.122	-1490.624	983.384	309.014	-1582.089	705.967	950.761	-1354.211	663.909	399.643	-1442.870	886.282	815.016	-1211.908	788.533	720.629	-1831.118	516.417	490.549	-1752.855	567.359	898.307	-1638.963	567.387	131.803	-1080.455	816.787	828.174	-1135.659	729.521	   NaN	   NaN	   NaN
5	0.05000	510.281	1061.116	1222.316	405.776	1044.267	1225.707	436.982	1292.721	1233.371	491.073	1324.351	1129.269	650.550	1128.390	1026.095	264.292	1416.120	1072.261	649.311	1074.564	695.070	124.142	1318.542	735.128	569.076	888.454	792.993	199.735	1114.819	806.175	534.343	1461.283	594.906	612.724	1210.981	607.784	288.983	1367.955	621.012	434.439	865.657	1393.178	295.750	1060.000	678.660	708.875	719.992	824.673	1535.460	593.529	1220.280	1505.482	704.292	1199.899	1733.854	708.998	1227.883	1795.312	688.378	1076.669	1683.197	466.495	1007.269	1689.971	902.348	1049.695	1541.922	376.070	728.713	1494.918	932.120	780.979	1364.983	368.375	847.913	1402.735	763.979	887.181	1851.625	705.042	588.285	1675.853	524.898	597.887	1657.726	882.472	602.399	1525.888	435.290	1474.126	1402.965	637.040	759.897	1260.755	205.460	943.225	1557.788	-656.984	1237.297	1576.260	-528.221	1229.343	1789.828	-610.924	1214.714	1797.320	-713.777	1107.131	1559.542	-779.431	1018.897	1881.534	-458.433	1072.552	1467.337	-702.302	712.297	1771.324	-256.848	870.455	1271.566	-607.612	780.790	1558.291	-317.829	901.330	1872.020	-734.310	621.153	1626.136	-759.167	608.283	1846.100	-481.701	609.777	1283.028	-765.156	1312.911	1512.573	-369.786	739.706	1031.722	-689.544	795.615	571.118	-1388.348	1186.011	755.462	-1394.649	1163.102	642.179	-1599.522	1221.118	685.771	-1660.602	1076.990	424.833	-1624.956	1013.701	888.133	-1490.648	983.393	309.013	-1582.040	705.961	950.830	-1354.302	663.897	399.650	-1442.849	886.286	815.186	-1211.899	788.523	720.622	-1831.110	516.428	490.534	-1752.839	567.365	898.309	-1638.974	567.376	132.058	-1079.827	817.082	828.366	-1135.686	729.499	   NaN	   NaN	   NaN
6	0.06000	509.741	1060.760	1222.278	405.155	1044.200	1225.646	436.966	1292.595	1233.274	491.220	1324.059	1129.287	650.091	1127.560	1025.996	264.665	1416.230	1072.510	648.486	1074.065	694.921	123.278	1318.039	736.215	567.769	887.435	792.768	199.256	1114.470	807.542	534.360	1461.253	594.908	612.670	1210.946	607.840	289.025	1367.941	621.027	441.189	866.991	1392.438	293.961	1059.605	679.002	706.930	719.145	824.275	1534.882	594.240	1220.924	1505.922	705.417	1200.665	1734.463	708.217	1227.749	1795.388	687.777	1076.676	1682.165	466.505	1007.195	1690.868	902.213	1050.008	1540.232	376.614	728.808	1495.795	933.114	781.474	1363.363	369.609	847.992	1403.039	765.260	887.629	1851.660	705.087	588.269	1675.855	524.979	597.892	1657.819	882.567	602.387	1525.994	436.322	1474.284	1402.517	638.286	760.211	1258.373	207.532	943.549	1557.587	-657.398	1237.382	1576.097	-528.190	1229.210	1789.697	-610.809	1214.752	1797.251	-713.719	1107.145	1559.479	-779.368	1018.895	1881.386	-458.405	1072.597	1467.308	-702.223	712.294	1770.745	-256.933	870.622	1271.546	-607.495	780.789	1557.856	-318.324	901.686	1871.998	-734.288	621.178	1626.125	-759.164	608.291	1846.087	-481.673	609.751	1284.034	-766.539	1313.264	1512.036	-370.196	740.099	1031.671	-689.335	795.604	571.086	-1388.315	1185.966	755.435	-1394.619	1163.094	642.162	-1599.478	1221.134	685.756	-1660.605	1076.989	424.821	-1624.948	1013.694	888.144	-1490.669	983.405	309.015	-1581.996	705.954	950.896	-1354.394	663.892	399.655	-1442.829	886.290	815.357	-1211.890	788.515	720.618	-1831.101	516.439	490.524	-1752.820	567.369	898.310	-1638.984	567.366	132.319	-1079.195	817.346	828.565	-1135.710	729.493	   NaN	   NaN	   NaN
7	0.07000	509.223	1060.401	1222.232	404.548	1044.121	1225.591	436.944	1292.464	1233.178	491.363	1323.754	1129.312	649.619	1126.746	1025.915	265.016	1416.332	1072.790	647.662	1073.554	694.795	122.390	1317.539	737.327	566.477	886.435	792.548	198.741	1114.261	808.968	534.373	1461.221	594.925	612.605	1210.907	607.936	289.055	1367.925	621.036	447.742	868.366	1391.705	292.173	1059.201	679.445	705.051	718.330	823.927	1534.214	595.079	1221.579	1506.442	706.643	1201.430	1735.069	707.270	1227.516	1795.489	687.135	1076.687	1681.108	466.502	1007.122	1691.803	902.034	1050.354	1538.457	377.192	728.900	1496.663	934.125	782.036	1361.688	370.816	848.056	1403.338	766.533	888.122	1851.691	705.134	588.258	1675.853	525.063	597.893	1657.905	882.667	602.373	1526.100	437.294	1474.425	1402.043	639.557	760.540	1255.867	209.732	943.954	1557.396	-657.679	1237.385	1575.931	-528.158	1229.071	1789.566	-610.696	1214.790	1797.184	-713.665	1107.157	1559.420	-779.305	1018.885	1881.243	-458.382	1072.644	1467.285	-702.134	712.280	1770.192	-257.014	870.783	1271.526	-607.393	780.786	1557.393	-318.776	902.022	1871.985	-734.267	621.202	1626.116	-759.164	608.305	1846.075	-481.648	609.727	1285.010	-767.856	1313.617	1511.505	-370.603	740.478	1031.622	-689.138	795.597	571.051	-1388.280	1185.919	755.407	-1394.591	1163.093	642.138	-1599.428	1221.153	685.740	-1660.607	1076.990	424.809	-1624.944	1013.687	888.156	-1490.687	983.418	309.020	-1581.958	705.947	950.961	-1354.485	663.890	399.658	-1442.811	886.293	815.528	-1211.883	788.511	720.616	-1831.090	516.450	490.518	-1752.798	567.371	898.312	-1638.995	567.356	132.583	-1078.562	817.570	828.771	-1135.733	729.506	   NaN	   NaN	   NaN
8	0.08000	508.709	1060.056	1222.181	403.950	1044.026	1225.532	436.920	1292.326	1233.085	491.501	1323.438	1129.341	649.137	1125.946	1025.854	265.347	1416.420	1073.102	646.862	1073.047	694.693	121.476	1317.027	738.459	565.192	885.425	792.350	198.200	1114.180	810.434	534.389	1461.176	594.949	612.522	1210.865	608.011	289.073	1367.909	621.038	454.071	869.781	1390.995	290.409	1058.759	679.980	703.225	717.521	823.617	1533.521	596.093	1222.241	1507.040	707.968	1202.206	1735.639	706.120	1227.153	1795.609	686.462	1076.693	1680.026	466.487	1007.051	1692.777	901.816	1050.729	1536.599	377.805	728.994	1497.525	935.144	782.656	1359.937	372.028	848.122	1403.640	767.793	888.657	1851.719	705.181	588.252	1675.844	525.148	597.891	1657.986	882.771	602.361	1526.197	438.200	1474.553	1401.548	640.849	760.891	1253.255	212.045	944.422	1557.230	-657.810	1237.308	1575.767	-528.124	1228.933	1789.435	-610.587	1214.828	1797.119	-713.614	1107.168	1559.365	-779.245	1018.869	1881.105	-458.361	1072.695	1467.264	-702.040	712.259	1769.661	-257.093	870.944	1271.504	-607.307	780.778	1556.869	-319.161	902.345	1871.976	-734.245	621.225	1626.107	-759.165	608.324	1846.066	-481.628	609.707	1285.953	-769.105	1313.967	1510.982	-371.005	740.842	1031.572	-688.966	795.587	571.015	-1388.243	1185.872	755.377	-1394.564	1163.097	642.109	-1599.375	1221.171	685.724	-1660.605	1076.990	424.797	-1624.942	1013.682	888.168	-1490.702	983.431	309.026	-1581.926	705.940	951.025	-1354.575	663.888	399.657	-1442.792	886.294	815.699	-1211.879	788.513	720.617	-1831.078	516.462	490.518	-1752.776	567.371	898.314	-1639.006	567.346	132.844	-1077.928	817.761	828.977	-1135.757	729.537	   NaN	   NaN	   NaN
9	0.09000	508.169	1059.747	1222.137	403.366	1043.918	1225.465	436.892	1292.178	1232.992	491.631	1323.117	1129.371	648.647	1125.156	1025.809	265.660	1416.488	1073.446	646.100	1072.558	694.609	120.543	1316.517	739.604	563.914	884.394	792.190	197.648	1114.169	811.904	534.412	1461.113	594.978	612.412	1210.817	608.025	289.075	1367.897	621.037	460.143	871.229	1390.320	288.701	1058.252	680.576	701.435	716.704	823.330	1532.881	597.293	1222.904	1507.712	709.383	1202.997	1736.149	704.754	1226.655	1795.743	685.766	1076.688	1678.927	466.461	1006.981	1693.789	901.570	1051.127	1534.664	378.449	729.096	1498.383	936.166	783.325	1358.085	373.296	848.212	1403.947	769.042	889.231	1851.741	705.225	588.249	1675.828	525.232	597.889	1658.065	882.875	602.352	1526.279	439.032	1474.676	1401.036	642.165	761.273	1250.562	214.445	944.926	1557.095	-657.825	1237.176	1575.604	-528.089	1228.799	1789.305	-610.485	1214.864	1797.054	-713.566	1107.178	1559.311	-779.189	1018.849	1880.972	-458.344	1072.750	1467.242	-701.946	712.234	1769.148	-257.170	871.112	1271.479	-607.230	780.759	1556.269	-319.463	902.666	1871.968	-734.224	621.246	1626.100	-759.166	608.344	1846.059	-481.611	609.689	1286.858	-770.283	1314.308	1510.475	-371.398	741.193	1031.521	-688.825	795.568	570.976	-1388.207	1185.825	755.344	-1394.535	1163.104	642.074	-1599.319	1221.187	685.710	-1660.598	1076.991	424.784	-1624.943	1013.677	888.180	-1490.714	983.444	309.033	-1581.899	705.934	951.087	-1354.664	663.884	399.651	-1442.775	886.294	815.869	-1211.881	788.523	720.619	-1831.067	516.474	490.521	-1752.756	567.371	898.316	-1639.016	567.336	133.100	-1077.297	817.933	829.182	-1135.783	729.583	   NaN	   NaN	   NaN
10	0.10000	507.583	1059.489	1222.114	402.801	1043.804	1225.395	436.848	1292.015	1232.887	491.750	1322.798	1129.399	648.150	1124.370	1025.776	265.957	1416.532	1073.812	645.372	1072.094	694.529	119.611	1316.050	740.747	562.654	883.353	792.081	197.092	1114.147	813.346	534.442	1461.034	595.006	612.270	1210.760	607.978	289.061	1367.894	621.035	465.937	872.698	1389.682	287.076	1057.678	681.211	699.665	715.882	823.045	1532.349	598.635	1223.557	1508.446	710.877	1203.799	1736.605	703.208	1226.052	1795.889	685.045	1076.668	1677.823	466.424	1006.911	1694.836	901.307	1051.543	1532.663	379.118	729.209	1499.243	937.182	784.035	1356.120	374.651	848.337	1404.259	770.289	889.845	1851.755	705.264	588.247	1675.802	525.312	597.885	1658.142	882.976	602.349	1526.340	439.783	1474.804	1400.513	643.507	761.690	1247.824	216.903	945.437	1556.980	-657.778	1237.024	1575.446	-528.051	1228.670	1789.178	-610.392	1214.898	1796.990	-713.519	1107.188	1559.259	-779.140	1018.828	1880.844	-458.329	1072.811	1467.217	-701.856	712.211	1768.648	-257.244	871.293	1271.452	-607.161	780.725	1555.611	-319.695	902.986	1871.959	-734.203	621.264	1626.095	-759.166	608.361	1846.055	-481.596	609.671	1287.717	-771.388	1314.631	1509.998	-371.770	741.540	1031.466	-688.716	795.532	570.934	-1388.172	1185.780	755.308	-1394.502	1163.113	642.036	-1599.263	1221.199	685.696	-1660.587	1076.992	424.773	-1624.942	1013.673	888.190	-1490.722	983.458	309.040	-1581.879	705.927	951.148	-1354.749	663.878	399.641	-1442.759	886.292	816.036	-1211.889	788.541	720.621	-1831.057	516.486	490.526	-1752.739	567.373	898.318	-1639.027	567.325	133.352	-1076.670	818.106	829.382	-1135.815	729.639	   NaN	   NaN	   NaN
