NO_OF_FRAMES	180
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	523.944	1115.732	1255.906	421.480	1086.639	1263.676	423.187	1337.334	1232.247	487.472	1352.502	1129.423	659.598	1154.118	1054.785	253.394	1409.928	1078.469	656.589	1037.570	738.694	97.120	1215.244	800.930	582.658	872.204	865.698	226.757	1047.586	898.341	567.381	936.881	1484.777	326.733	1008.057	774.940	727.890	712.350	930.246	525.034	1458.774	594.262
2	0.02000	524.008	1115.676	1255.739	421.556	1086.606	1263.547	423.300	1337.318	1232.251	487.494	1352.544	1129.423	659.582	1154.140	1054.720	253.436	1410.013	1078.461	656.622	1037.749	738.547	97.100	1215.540	800.778	582.670	872.346	865.455	226.670	1047.792	898.150	568.572	936.675	1484.120	326.476	1008.086	774.796	727.888	712.460	929.957	525.149	1458.672	594.124
3	0.03000	524.070	1115.617	1255.569	421.628	1086.570	1263.417	423.417	1337.304	1232.266	487.516	1352.585	1129.421	659.568	1154.160	1054.655	253.478	1410.094	1078.450	656.649	1037.924	738.406	97.088	1215.830	800.627	582.681	872.483	865.220	226.580	1047.994	897.971	569.779	936.500	1483.437	326.226	1008.117	774.613	727.883	712.570	929.670	525.238	1458.607	594.010
4	0.04000	524.127	1115.550	1255.396	421.694	1086.530	1263.285	423.543	1337.291	1232.299	487.539	1352.623	1129.420	659.557	1154.180	1054.586	253.520	1410.172	1078.436	656.668	1038.093	738.276	97.086	1216.113	800.478	582.690	872.613	864.999	226.486	1048.187	897.811	571.029	936.388	1482.705	325.996	1008.146	774.366	727.871	712.678	929.387	525.286	1458.594	593.936
5	0.05000	524.178	1115.473	1255.223	421.749	1086.486	1263.155	423.681	1337.281	1232.351	487.566	1352.657	1129.417	659.554	1154.198	1054.514	253.562	1410.247	1078.418	656.678	1038.255	738.155	97.090	1216.389	800.334	582.696	872.739	864.788	226.391	1048.370	897.673	572.332	936.357	1481.919	325.801	1008.162	774.051	727.845	712.783	929.109	525.296	1458.623	593.904
6	0.06000	524.222	1115.387	1255.053	421.792	1086.443	1263.030	423.829	1337.273	1232.418	487.596	1352.687	1129.413	659.558	1154.216	1054.439	253.607	1410.319	1078.397	656.679	1038.413	738.039	97.096	1216.656	800.200	582.699	872.862	864.585	226.297	1048.539	897.550	573.693	936.420	1481.092	325.654	1008.157	773.693	727.801	712.879	928.838	525.280	1458.672	593.907
7	0.07000	524.259	1115.298	1254.891	421.825	1086.401	1262.914	423.980	1337.265	1232.491	487.631	1352.710	1129.409	659.569	1154.234	1054.363	253.655	1410.390	1078.372	656.671	1038.566	737.918	97.095	1216.916	800.082	582.700	872.984	864.385	226.212	1048.696	897.431	575.109	936.577	1480.249	325.556	1008.137	773.334	727.741	712.965	928.570	525.254	1458.726	593.928
8	0.08000	524.294	1115.211	1254.743	421.853	1086.362	1262.809	424.125	1337.256	1232.561	487.669	1352.729	1129.403	659.586	1154.255	1054.288	253.708	1410.462	1078.344	656.653	1038.719	737.786	97.082	1217.169	799.983	582.693	873.102	864.189	226.141	1048.845	897.305	576.575	936.827	1479.424	325.498	1008.111	773.011	727.669	713.038	928.299	525.230	1458.782	593.956
9	0.09000	524.330	1115.135	1254.614	421.886	1086.326	1262.717	424.255	1337.244	1232.618	487.710	1352.742	1129.395	659.604	1154.284	1054.222	253.766	1410.536	1078.316	656.628	1038.874	737.641	97.054	1217.416	799.905	582.675	873.213	863.996	226.091	1048.993	897.158	578.081	937.167	1478.644	325.466	1008.088	772.748	727.591	713.097	928.018	525.215	1458.838	593.981
10	0.10000	524.372	1115.072	1254.507	421.930	1086.293	1262.636	424.365	1337.232	1232.659	487.754	1352.754	1129.385	659.618	1154.328	1054.173	253.828	1410.612	1078.289	656.598	1039.032	737.485	97.014	1217.657	799.846	582.643	873.316	863.810	226.065	1049.149	896.986	579.614	937.600	1477.923	325.434	1008.075	772.554	727.512	713.146	927.722	525.215	1458.885	593.990
11	0.11000	524.419	1115.024	1254.423	421.986	1086.263	1262.568	424.455	1337.221	1232.684	487.800	1352.767	1129.372	659.626	1154.395	1054.151	253.893	1410.692	1078.264	656.566	1039.194	737.323	96.970	1217.892	799.799	582.598	873.412	863.629	226.064	1049.319	896.792	581.155	938.130	1477.254	325.371	1008.089	772.424	727.439	713.187	927.411	525.230	1458.912	593.976
12	0.12000	524.471	1114.990	1254.360	422.051	1086.240	1262.509	424.530	1337.213	1232.697	487.847	1352.784	1129.356	659.624	1154.486	1054.155	253.959	1410.774	1078.242	656.534	1039.357	737.162	96.932	1218.121	799.758	582.541	873.506	863.453	226.084	1049.508	896.589	582.683	938.762	1476.621	325.248	1008.146	772.344	727.379	713.229	927.091	525.258	1458.924	593.942
13	0.13000	524.524	1114.966	1254.313	422.117	1086.225	1262.456	424.596	1337.209	1232.703	487.897	1352.805	1129.336	659.620	1154.588	1054.169	254.026	1410.855	1078.224	656.505	1039.515	737.006	96.908	1218.345	799.715	582.476	873.600	863.280	226.115	1049.719	896.393	584.173	939.496	1476.010	325.053	1008.263	772.289	727.333	713.276	926.771	525.290	1458.933	593.902
14	0.14000	524.575	1114.948	1254.273	422.174	1086.219	1262.403	424.661	1337.211	1232.707	487.952	1352.828	1129.312	659.623	1154.680	1054.168	254.093	1410.933	1078.211	656.478	1039.663	736.858	96.902	1218.565	799.666	582.408	873.699	863.107	226.148	1049.945	896.217	585.598	940.329	1475.409	324.794	1008.439	772.237	727.300	713.330	926.461	525.319	1458.952	593.867
15	0.15000	524.620	1114.932	1254.234	422.219	1086.221	1262.346	424.733	1337.218	1232.713	488.012	1352.850	1129.283	659.639	1154.749	1054.137	254.160	1411.007	1078.202	656.456	1039.797	736.722	96.914	1218.782	799.610	582.339	873.802	862.935	226.176	1050.178	896.072	586.932	941.248	1474.819	324.510	1008.651	772.170	727.277	713.388	926.168	525.343	1458.978	593.837
16	0.16000	524.658	1114.915	1254.190	422.248	1086.227	1262.280	424.815	1337.229	1232.726	488.078	1352.868	1129.250	659.667	1154.792	1054.073	254.227	1411.077	1078.196	656.438	1039.915	736.600	96.940	1219.000	799.550	582.273	873.910	862.764	226.196	1050.407	895.965	588.151	942.234	1474.245	324.246	1008.856	772.078	727.256	713.445	925.896	525.360	1459.008	593.813
17	0.17000	524.691	1114.896	1254.137	422.267	1086.234	1262.205	424.909	1337.242	1232.749	488.151	1352.882	1129.215	659.702	1154.816	1053.987	254.296	1411.146	1078.193	656.425	1040.018	736.490	96.973	1219.216	799.492	582.211	874.025	862.592	226.209	1050.628	895.895	589.243	943.266	1473.697	324.033	1009.026	771.963	727.231	713.497	925.648	525.369	1459.042	593.797
18	0.18000	524.721	1114.873	1254.074	422.278	1086.240	1262.125	425.012	1337.256	1232.781	488.226	1352.895	1129.184	659.741	1154.830	1053.891	254.370	1411.219	1078.190	656.415	1040.108	736.392	97.007	1219.430	799.441	582.157	874.148	862.418	226.220	1050.840	895.859	590.200	944.325	1473.188	323.881	1009.152	771.833	727.197	713.542	925.423	525.370	1459.082	593.791
19	0.19000	524.750	1114.845	1254.002	422.286	1086.247	1262.046	425.120	1337.268	1232.821	488.302	1352.910	1129.159	659.778	1154.841	1053.795	254.450	1411.301	1078.187	656.408	1040.191	736.303	97.038	1219.638	799.402	582.110	874.283	862.244	226.234	1051.045	895.846	591.025	945.398	1472.732	323.782	1009.238	771.697	727.147	713.579	925.220	525.370	1459.117	593.786
20	0.20000	524.779	1114.813	1253.924	422.295	1086.252	1261.971	425.230	1337.278	1232.863	488.374	1352.929	1129.143	659.812	1154.854	1053.703	254.536	1411.396	1078.185	656.403	1040.270	736.220	97.063	1219.838	799.377	582.069	874.424	862.078	226.259	1051.246	895.847	591.729	946.473	1472.341	323.725	1009.291	771.564	727.079	713.609	925.036	525.375	1459.135	593.772
21	0.21000	524.806	1114.775	1253.839	422.305	1086.257	1261.901	425.341	1337.284	1232.905	488.444	1352.953	1129.133	659.844	1154.870	1053.618	254.627	1411.504	1078.183	656.399	1040.349	736.140	97.082	1220.026	799.363	582.031	874.564	861.930	226.298	1051.448	895.851	592.326	947.542	1472.021	323.701	1009.320	771.444	726.993	713.634	924.869	525.388	1459.126	593.740
22	0.22000	524.830	1114.731	1253.748	422.316	1086.261	1261.834	425.455	1337.286	1232.945	488.510	1352.982	1129.128	659.875	1154.891	1053.539	254.720	1411.621	1078.182	656.395	1040.430	736.061	97.099	1220.201	799.358	581.992	874.694	861.808	226.351	1051.653	895.852	592.827	948.590	1471.776	323.706	1009.337	771.343	726.890	713.653	924.716	525.412	1459.088	593.688
