NO_OF_FRAMES	181
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
1	0.01000	363.233	1025.945	1259.297	260.976	1057.082	1264.501	397.890	1266.908	1243.721	455.162	1234.361	1145.432	481.255	989.114	1043.602	308.233	1384.178	1128.941	384.915	932.357	741.114	38.467	1272.352	924.124	234.201	871.431	888.310	117.103	1115.482	1065.548	460.765	904.748	1659.170	145.610	1005.841	984.105	218.652	602.907	943.417	588.372	1370.757	611.095
2	0.02000	362.004	1025.009	1256.590	260.031	1056.336	1262.003	397.389	1266.285	1243.756	454.415	1234.531	1144.841	481.671	989.390	1042.579	306.643	1385.114	1127.055	387.602	931.833	739.722	38.590	1275.316	916.369	236.934	870.326	886.651	112.027	1114.575	1057.189	439.354	913.027	1659.166	145.115	1003.503	973.227	224.801	601.372	941.906	588.321	1370.752	610.524
3	0.03000	360.731	1024.132	1253.995	259.008	1055.706	1259.597	397.072	1265.489	1243.738	453.785	1234.653	1144.247	482.104	989.631	1041.467	305.260	1386.011	1125.294	390.233	931.381	738.270	38.883	1278.442	908.985	239.575	869.548	884.931	107.375	1113.856	1048.743	418.019	920.278	1658.295	144.955	1001.494	962.473	230.987	599.954	940.389	588.311	1370.781	609.971
4	0.04000	359.391	1023.297	1251.545	257.892	1055.199	1257.298	396.876	1264.572	1243.669	453.266	1234.751	1143.657	482.588	989.868	1040.309	304.040	1386.871	1123.652	392.827	931.030	736.807	39.340	1281.701	902.005	242.162	869.007	883.170	103.211	1113.407	1040.332	396.966	926.549	1656.613	144.973	999.734	951.977	237.076	598.652	938.913	588.350	1370.847	609.433
5	0.05000	357.975	1022.492	1249.262	256.676	1054.817	1255.111	396.739	1263.596	1243.568	452.849	1234.838	1143.079	483.147	990.126	1039.152	302.948	1387.682	1122.114	395.405	930.808	735.378	39.952	1285.062	895.449	244.758	868.509	881.393	99.559	1113.283	1032.086	376.341	931.892	1654.204	145.052	998.155	941.847	242.946	597.458	937.511	588.440	1370.950	608.908
6	0.06000	356.483	1021.709	1247.149	255.364	1054.564	1253.023	396.616	1262.605	1243.459	452.523	1234.923	1142.529	483.796	990.417	1038.050	301.953	1388.424	1120.662	397.976	930.743	734.027	40.698	1288.504	889.319	247.369	867.883	879.633	96.402	1113.510	1024.116	356.241	936.361	1651.157	145.152	996.751	932.143	248.494	596.351	936.185	588.576	1371.087	608.400
7	0.07000	354.928	1020.954	1245.194	253.970	1054.432	1251.019	396.486	1261.614	1243.370	452.271	1235.014	1142.029	484.538	990.745	1037.053	301.031	1389.086	1119.283	400.540	930.855	732.787	41.562	1292.008	883.599	249.942	867.109	877.922	93.699	1114.084	1016.499	336.741	940.021	1647.558	145.312	995.619	922.868	253.643	595.320	934.908	588.745	1371.256	607.920
8	0.08000	353.332	1020.239	1243.377	252.524	1054.394	1249.078	396.337	1260.622	1243.316	452.068	1235.120	1141.595	485.361	991.110	1036.203	300.175	1389.681	1117.975	403.087	931.150	731.673	42.531	1295.555	878.256	252.431	866.303	876.289	91.390	1114.966	1009.260	317.919	942.947	1643.482	145.640	994.966	913.952	258.358	594.378	933.625	588.931	1371.451	607.473
9	0.09000	351.728	1019.583	1241.670	251.081	1054.381	1247.177	396.155	1259.632	1243.312	451.891	1235.252	1141.235	486.245	991.508	1035.528	299.394	1390.240	1116.745	405.602	931.623	730.686	43.602	1299.121	873.240	254.839	865.603	874.751	89.414	1116.085	1002.376	299.866	945.216	1638.990	146.264	995.024	905.271	262.647	593.566	932.270	589.129	1371.657	607.055
10	0.10000	350.156	1018.990	1240.039	249.712	1054.302	1245.284	395.916	1258.661	1243.365	451.721	1235.417	1140.953	487.160	991.933	1035.038	298.698	1390.796	1115.601	408.075	932.252	729.818	44.771	1302.674	868.493	257.181	865.080	873.314	87.714	1117.362	995.773	282.680	946.902	1634.144	147.257	995.894	896.752	266.550	592.926	930.791	589.340	1371.853	606.656
