NO_OF_FRAMES	128
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	415.243	1005.179	1230.661	320.304	1040.015	1262.584	464.401	1243.670	1231.638	482.938	1244.817	1142.772	561.300	1014.670	1036.589	297.081	1377.166	1117.307	499.335	930.237	735.030	62.203	1261.049	840.952	376.001	837.565	887.595	118.594	1058.271	941.317	546.084	1407.868	598.953	578.446	1146.448	606.596	291.105	1364.743	654.534	190.795	860.346	1578.390	236.538	979.037	835.576	452.534	579.342	945.858	1619.048	598.243	1254.704	1584.769	707.063	1238.472	1811.907	714.797	1219.527	1835.829	690.266	1066.218	1711.218	468.844	1019.152	1728.178	895.611	1054.155	1526.367	373.875	778.298	1505.363	951.458	808.687	1376.341	364.407	928.779	1411.884	789.608	923.832	1840.887	683.739	584.096	1665.270	503.104	603.520	1649.912	863.644	600.389	1478.801	535.561	1551.902	1415.271	640.742	810.010	1294.484	204.770	1044.426	1484.995	-710.935	1219.822	1496.580	-583.457	1224.861	1714.359	-652.841	1238.286	1740.204	-737.302	1115.473	1513.599	-816.380	1012.156	1771.096	-481.654	1114.662	1405.343	-756.978	720.640	1628.619	-293.588	930.318	1205.244	-671.556	780.261	1445.445	-403.678	985.622	1852.710	-725.676	637.361	1611.362	-750.998	606.934	1830.753	-473.643	624.441	1245.756	-831.673	1451.069	1394.414	-468.341	831.330	965.501	-730.874	812.530	598.901	-1465.442	1284.481	777.143	-1445.014	1237.024	675.326	-1662.213	1214.252	713.713	-1658.012	1092.150	460.900	-1649.950	1052.875	876.086	-1460.705	1042.306	257.272	-1635.366	843.921	1040.252	-1257.632	836.770	385.238	-1490.108	989.281	903.266	-1119.911	969.341	719.769	-1814.889	537.700	490.769	-1733.410	580.745	898.641	-1619.487	571.882	239.642	-1179.133	1096.504	898.267	-995.882	927.188	   NaN	   NaN	   NaN
2	0.02000	415.154	1005.663	1230.160	320.170	1040.386	1261.897	464.309	1244.130	1231.827	482.978	1245.319	1142.583	561.068	1015.131	1036.487	297.305	1378.395	1116.966	499.220	931.305	734.636	62.489	1264.410	839.090	375.716	838.826	887.173	117.196	1060.539	938.186	546.209	1407.926	598.643	578.480	1146.565	606.471	291.226	1364.991	654.336	186.238	859.208	1574.728	235.311	981.177	832.660	451.507	580.222	944.835	1618.210	599.360	1254.730	1584.366	708.005	1238.388	1811.454	714.676	1219.490	1835.384	690.139	1066.368	1710.232	469.013	1019.374	1728.310	895.981	1053.693	1525.454	374.211	778.353	1506.854	952.665	806.614	1374.993	365.432	928.427	1411.405	790.483	919.559	1840.888	683.730	584.086	1665.271	503.090	603.510	1649.924	863.619	600.361	1474.489	531.950	1546.044	1415.522	642.483	804.554	1292.505	206.279	1043.914	1485.725	-710.223	1220.079	1497.487	-582.847	1225.081	1715.221	-652.468	1238.067	1740.709	-737.040	1115.419	1514.018	-815.849	1012.035	1772.669	-480.984	1114.123	1405.847	-755.643	720.646	1631.960	-292.435	928.501	1205.722	-670.267	780.167	1447.596	-401.022	982.732	1852.922	-725.847	637.243	1611.568	-750.780	606.951	1831.295	-473.654	624.157	1245.463	-832.424	1444.866	1396.464	-464.548	828.443	965.858	-729.556	812.761	598.246	-1465.471	1284.297	776.616	-1445.173	1237.251	674.740	-1662.324	1214.330	713.230	-1658.281	1092.236	460.583	-1649.522	1052.632	876.519	-1461.779	1042.242	257.294	-1634.591	843.275	1044.735	-1263.685	835.047	385.578	-1489.327	988.168	909.003	-1122.062	965.031	719.763	-1814.965	537.639	490.718	-1733.397	580.688	898.679	-1619.605	571.851	242.493	-1172.117	1082.750	905.825	-998.529	921.554	   NaN	   NaN	   NaN
3	0.03000	415.133	1006.140	1229.679	320.067	1040.728	1261.239	464.185	1244.599	1232.028	483.016	1245.800	1142.414	560.839	1015.566	1036.401	297.492	1379.557	1116.629	499.093	932.311	734.296	62.827	1267.759	837.341	375.426	840.056	886.790	115.859	1062.772	935.201	546.357	1407.911	598.349	578.511	1146.651	606.351	291.331	1365.186	654.167	182.261	857.971	1571.152	234.103	983.382	829.869	450.449	581.099	943.817	1617.354	600.383	1254.841	1583.976	709.011	1238.346	1811.035	714.544	1219.440	1834.950	689.988	1066.532	1709.215	469.178	1019.586	1728.433	896.314	1053.266	1524.476	374.589	778.406	1508.276	953.799	804.695	1373.592	366.530	928.080	1410.963	791.371	915.606	1840.877	683.724	584.081	1665.258	503.080	603.498	1649.930	863.599	600.331	1470.748	528.451	1540.437	1415.744	644.283	799.437	1290.472	207.850	1043.373	1486.479	-709.537	1220.365	1498.390	-582.255	1225.313	1716.098	-652.081	1237.835	1741.249	-736.780	1115.365	1514.452	-815.302	1011.946	1774.271	-480.322	1113.585	1406.330	-754.373	720.685	1635.167	-291.525	926.601	1206.217	-668.868	780.104	1449.730	-398.451	979.959	1853.113	-726.012	637.122	1611.771	-750.589	606.964	1831.857	-473.674	623.926	1245.314	-833.473	1438.619	1398.552	-460.870	825.652	966.226	-728.148	813.064	597.625	-1465.478	1284.117	776.121	-1445.299	1237.441	674.192	-1662.409	1214.415	712.751	-1658.533	1092.326	460.279	-1649.068	1052.414	876.949	-1462.793	1042.187	257.335	-1633.810	842.709	1048.973	-1269.747	833.314	385.887	-1488.878	987.475	914.511	-1124.354	960.660	719.760	-1815.049	537.586	490.671	-1733.382	580.641	898.708	-1619.724	571.814	245.458	-1165.208	1068.995	913.214	-1001.349	915.882	   NaN	   NaN	   NaN
4	0.04000	415.177	1006.613	1229.212	319.998	1041.042	1260.624	464.017	1245.082	1232.224	483.056	1246.273	1142.278	560.611	1015.970	1036.333	297.660	1380.658	1116.290	498.968	933.258	734.004	63.213	1271.082	835.733	375.115	841.229	886.408	114.592	1064.977	932.394	546.511	1407.850	598.070	578.543	1146.709	606.236	291.423	1365.337	654.011	178.802	856.652	1567.621	232.923	985.606	827.168	449.425	581.953	942.817	1616.486	601.317	1255.030	1583.569	710.116	1238.367	1810.633	714.413	1219.382	1834.521	689.814	1066.712	1708.163	469.340	1019.790	1728.559	896.609	1052.879	1523.447	375.006	778.450	1509.619	954.880	802.949	1372.151	367.674	927.737	1410.589	792.257	911.988	1840.858	683.719	584.078	1665.232	503.075	603.488	1649.933	863.584	600.303	1467.502	525.125	1535.101	1415.885	646.161	794.678	1288.393	209.486	1042.843	1487.261	-708.886	1220.671	1499.296	-581.680	1225.554	1716.991	-651.684	1237.598	1741.822	-736.541	1115.309	1514.901	-814.727	1011.895	1775.905	-479.680	1113.057	1406.787	-753.150	720.747	1638.305	-290.655	924.819	1206.729	-667.303	780.089	1451.843	-395.981	977.323	1853.291	-726.165	636.995	1611.968	-750.428	606.976	1832.423	-473.708	623.739	1245.347	-834.744	1432.370	1400.677	-457.322	822.940	966.623	-726.668	813.399	597.039	-1465.450	1283.927	775.652	-1445.393	1237.594	673.678	-1662.466	1214.503	712.283	-1658.773	1092.413	459.980	-1648.620	1052.224	877.384	-1463.756	1042.143	257.373	-1633.038	842.263	1052.968	-1275.803	831.582	386.130	-1488.783	987.278	919.780	-1126.789	956.248	719.759	-1815.141	537.540	490.628	-1733.369	580.604	898.730	-1619.842	571.774	248.538	-1158.439	1055.315	920.413	-1004.328	910.216	   NaN	   NaN	   NaN
5	0.05000	415.273	1007.083	1228.779	319.962	1041.331	1260.061	463.802	1245.582	1232.406	483.098	1246.738	1142.177	560.388	1016.336	1036.286	297.828	1381.703	1115.946	498.853	934.148	733.746	63.634	1274.345	834.271	374.780	842.336	886.022	113.401	1067.155	929.778	546.647	1407.778	597.815	578.577	1146.742	606.125	291.508	1365.448	653.855	175.835	855.259	1564.114	231.762	987.803	824.527	448.501	582.752	941.855	1615.615	602.197	1255.276	1583.127	711.333	1238.457	1810.236	714.285	1219.320	1834.096	689.617	1066.898	1707.079	469.498	1019.983	1728.698	896.868	1052.531	1522.379	375.459	778.480	1510.876	955.930	801.388	1370.683	368.844	927.392	1410.312	793.132	908.716	1840.833	683.713	584.078	1665.195	503.070	603.483	1649.938	863.571	600.275	1464.692	521.999	1530.052	1415.891	648.138	790.291	1286.271	211.184	1042.349	1488.077	-708.282	1220.998	1500.214	-581.119	1225.797	1717.899	-651.281	1237.364	1742.428	-736.348	1115.254	1515.361	-814.122	1011.880	1777.560	-479.077	1112.546	1407.216	-751.948	720.827	1641.427	-289.643	923.323	1207.261	-665.514	780.147	1453.942	-393.627	974.837	1853.462	-726.308	636.865	1612.158	-750.293	606.989	1832.979	-473.754	623.572	1245.599	-836.173	1426.155	1402.825	-453.903	820.298	967.072	-725.157	813.713	596.493	-1465.373	1283.719	775.208	-1445.455	1237.708	673.194	-1662.495	1214.591	711.833	-1659.007	1092.492	459.682	-1648.211	1052.059	877.823	-1464.681	1042.104	257.382	-1632.292	841.965	1056.727	-1281.835	829.854	386.284	-1489.014	987.609	924.805	-1129.357	951.813	719.760	-1815.239	537.496	490.589	-1733.361	580.576	898.747	-1619.962	571.731	251.723	-1151.828	1041.777	927.394	-1007.456	904.579	   NaN	   NaN	   NaN
6	0.06000	415.401	1007.546	1228.399	319.956	1041.596	1259.557	463.548	1246.097	1232.571	483.145	1247.187	1142.106	560.174	1016.662	1036.264	298.006	1382.696	1115.600	498.746	934.981	733.507	64.071	1277.502	832.931	374.425	843.364	885.641	112.292	1069.297	927.339	546.750	1407.719	597.590	578.611	1146.753	606.021	291.594	1365.519	653.691	173.365	853.808	1560.640	230.608	989.939	821.936	447.721	583.471	940.943	1614.743	603.062	1255.550	1582.653	712.628	1238.592	1809.837	714.156	1219.257	1833.667	689.403	1067.079	1705.971	469.652	1020.163	1728.852	897.096	1052.218	1521.284	375.943	778.493	1512.048	956.966	800.017	1369.194	370.028	927.043	1410.146	794.000	905.802	1840.805	683.705	584.079	1665.149	503.065	603.487	1649.949	863.560	600.247	1462.274	519.066	1525.301	1415.735	650.218	786.276	1284.110	212.938	1041.896	1488.933	-707.741	1221.349	1501.153	-580.567	1226.042	1718.825	-650.880	1237.142	1743.066	-736.225	1115.207	1515.836	-813.498	1011.895	1779.212	-478.535	1112.056	1407.613	-750.736	720.926	1644.553	-288.395	922.180	1207.806	-663.468	780.301	1456.035	-391.396	972.498	1853.632	-726.444	636.736	1612.339	-750.178	607.002	1833.516	-473.806	623.404	1246.102	-837.715	1420.006	1404.985	-450.620	817.720	967.589	-723.669	813.952	595.992	-1465.237	1283.487	774.789	-1445.486	1237.783	672.738	-1662.495	1214.676	711.406	-1659.239	1092.559	459.383	-1647.867	1051.916	878.263	-1465.578	1042.060	257.344	-1631.589	841.825	1060.260	-1287.825	828.132	386.340	-1489.495	988.449	929.583	-1132.047	947.374	719.763	-1815.344	537.452	490.555	-1733.356	580.552	898.759	-1620.086	571.686	255.004	-1145.386	1028.447	934.127	-1010.728	898.977	   NaN	   NaN	   NaN
7	0.07000	415.540	1008.000	1228.084	319.972	1041.848	1259.113	463.274	1246.619	1232.723	483.195	1247.613	1142.056	559.970	1016.951	1036.262	298.193	1383.637	1115.262	498.640	935.759	733.273	64.500	1280.513	831.677	374.059	844.288	885.265	111.264	1071.395	925.051	546.814	1407.681	597.395	578.644	1146.745	605.926	291.688	1365.551	653.512	171.405	852.328	1557.232	229.455	992.000	819.402	447.099	584.093	940.084	1613.864	603.939	1255.830	1582.165	713.927	1238.734	1809.433	714.017	1219.197	1833.230	689.180	1067.244	1704.850	469.796	1020.329	1729.019	897.301	1051.940	1520.168	376.454	778.494	1513.141	957.999	798.832	1367.689	371.228	926.683	1410.090	794.870	903.246	1840.774	683.694	584.080	1665.094	503.059	603.499	1649.967	863.549	600.215	1460.231	516.301	1520.847	1415.434	652.371	782.617	1281.920	214.736	1041.479	1489.833	-707.271	1221.726	1502.125	-580.025	1226.284	1719.770	-650.491	1236.940	1743.734	-736.179	1115.172	1516.326	-812.867	1011.931	1780.832	-478.066	1111.587	1407.977	-749.486	721.047	1647.680	-286.925	921.355	1208.350	-661.165	780.564	1458.133	-389.279	970.297	1853.803	-726.577	636.611	1612.513	-750.077	607.010	1834.036	-473.853	623.221	1246.879	-839.341	1413.954	1407.156	-447.492	815.195	968.184	-722.260	814.069	595.537	-1465.044	1283.232	774.398	-1445.492	1237.823	672.304	-1662.473	1214.763	711.011	-1659.473	1092.612	459.091	-1647.602	1051.798	878.702	-1466.453	1042.000	257.246	-1630.943	841.838	1063.577	-1293.752	826.411	386.302	-1490.131	989.706	934.111	-1134.841	942.952	719.768	-1815.451	537.404	490.528	-1733.357	580.528	898.769	-1620.214	571.639	258.355	-1139.136	1015.392	940.586	-1014.144	893.410	   NaN	   NaN	   NaN
8	0.08000	415.682	1008.439	1227.834	320.003	1042.097	1258.724	463.002	1247.140	1232.864	483.248	1248.009	1142.018	559.774	1017.214	1036.276	298.388	1384.533	1114.942	498.528	936.482	733.039	64.906	1283.361	830.475	373.686	845.092	884.885	110.319	1073.441	922.878	546.844	1407.661	597.228	578.671	1146.719	605.839	291.794	1365.550	653.317	169.966	850.851	1553.931	228.319	994.003	816.933	446.617	584.635	939.263	1612.969	604.838	1256.097	1581.685	715.172	1238.850	1809.023	713.860	1219.144	1832.779	688.953	1067.385	1703.723	469.931	1020.483	1729.192	897.485	1051.700	1519.038	376.986	778.489	1514.165	959.034	797.825	1366.172	372.449	926.308	1410.128	795.757	901.034	1840.741	683.680	584.081	1665.033	503.053	603.517	1649.993	863.539	600.179	1458.565	513.672	1516.680	1415.033	654.536	779.289	1279.713	216.560	1041.082	1490.775	-706.865	1222.126	1503.143	-579.500	1226.522	1720.737	-650.129	1236.761	1744.426	-736.185	1115.150	1516.831	-812.246	1011.984	1782.400	-477.668	1111.135	1408.310	-748.172	721.190	1650.786	-285.346	920.718	1208.871	-658.649	780.924	1460.248	-387.256	968.220	1853.979	-726.705	636.492	1612.679	-749.985	607.013	1834.549	-473.878	623.031	1247.934	-841.023	1408.032	1409.351	-444.550	812.714	968.850	-720.974	814.041	595.125	-1464.804	1282.953	774.040	-1445.476	1237.833	671.895	-1662.436	1214.855	710.652	-1659.708	1092.658	458.813	-1647.420	1051.709	879.139	-1467.314	1041.914	257.085	-1630.362	841.980	1066.685	-1299.597	824.683	386.172	-1490.827	991.226	938.394	-1137.718	938.560	719.774	-1815.559	537.352	490.505	-1733.362	580.502	898.781	-1620.347	571.588	261.724	-1133.133	1002.668	946.748	-1017.705	887.870	   NaN	   NaN	   NaN
9	0.09000	415.820	1008.862	1227.640	320.044	1042.353	1258.389	462.751	1247.653	1232.998	483.301	1248.371	1141.985	559.583	1017.461	1036.293	298.587	1385.389	1114.647	498.407	937.153	732.808	65.284	1286.058	829.315	373.311	845.781	884.495	109.456	1075.427	920.790	546.846	1407.658	597.085	578.685	1146.673	605.756	291.912	1365.522	653.101	169.049	849.409	1550.776	227.228	995.982	814.534	446.231	585.132	938.467	1612.060	605.757	1256.344	1581.216	716.351	1238.927	1808.606	713.680	1219.102	1832.311	688.725	1067.506	1702.595	470.058	1020.630	1729.362	897.648	1051.501	1517.899	377.533	778.480	1515.134	960.075	796.982	1364.645	373.696	925.916	1410.231	796.673	899.136	1840.708	683.662	584.082	1664.965	503.050	603.537	1650.026	863.532	600.141	1457.295	511.160	1512.778	1414.575	656.663	776.261	1277.507	218.388	1040.679	1491.744	-706.486	1222.537	1504.217	-579.004	1226.754	1721.723	-649.809	1236.607	1745.130	-736.195	1115.134	1517.344	-811.656	1012.052	1783.904	-477.327	1110.702	1408.620	-746.777	721.356	1653.840	-283.822	920.102	1209.340	-656.009	781.348	1462.389	-385.298	966.251	1854.159	-726.826	636.380	1612.839	-749.897	607.012	1835.063	-473.870	622.854	1249.252	-842.715	1402.277	1411.595	-441.814	810.271	969.573	-719.827	813.868	594.752	-1464.530	1282.654	773.718	-1445.448	1237.824	671.517	-1662.394	1214.953	710.335	-1659.942	1092.699	458.560	-1647.316	1051.648	879.577	-1468.167	1041.791	256.865	-1629.853	842.218	1069.591	-1305.340	822.943	385.950	-1491.509	992.830	942.432	-1140.659	934.209	719.779	-1815.665	537.295	490.488	-1733.373	580.471	898.800	-1620.482	571.535	265.051	-1127.443	990.314	952.601	-1021.409	882.347	   NaN	   NaN	   NaN
10	0.10000	415.953	1009.267	1227.497	320.093	1042.621	1258.108	462.535	1248.153	1233.125	483.353	1248.702	1141.954	559.391	1017.705	1036.302	298.788	1386.208	1114.379	498.271	937.776	732.584	65.635	1288.624	828.194	372.939	846.369	884.093	108.673	1077.345	918.764	546.823	1407.670	596.966	578.682	1146.604	605.672	292.039	1365.474	652.866	168.639	848.041	1547.789	226.203	997.956	812.200	445.900	585.605	937.690	1611.144	606.687	1256.571	1580.748	717.486	1238.969	1808.183	713.481	1219.073	1831.831	688.494	1067.617	1701.465	470.180	1020.773	1729.521	897.788	1051.345	1516.757	378.088	778.468	1516.061	961.114	796.284	1363.111	374.970	925.508	1410.362	797.634	897.515	1840.674	683.640	584.083	1664.891	503.053	603.555	1650.064	863.530	600.100	1456.448	508.757	1509.113	1414.080	658.733	773.502	1275.321	220.192	1040.251	1492.716	-706.087	1222.947	1505.350	-578.536	1226.985	1722.726	-649.543	1236.473	1745.836	-736.174	1115.118	1517.851	-811.112	1012.134	1785.348	-477.015	1110.284	1408.915	-745.293	721.543	1656.826	-282.467	919.395	1209.736	-653.368	781.793	1464.560	-383.373	964.380	1854.339	-726.937	636.275	1612.992	-749.806	607.012	1835.580	-473.830	622.711	1250.796	-844.346	1396.729	1413.911	-439.271	807.865	970.329	-718.814	813.579	594.413	-1464.239	1282.338	773.437	-1445.412	1237.803	671.181	-1662.354	1215.055	710.062	-1660.173	1092.739	458.335	-1647.275	1051.613	880.021	-1469.016	1041.631	256.597	-1629.416	842.513	1072.295	-1310.966	821.187	385.649	-1492.107	994.352	946.230	-1143.648	929.905	719.785	-1815.769	537.232	490.474	-1733.389	580.433	898.834	-1620.617	571.481	268.299	-1122.115	978.349	958.133	-1025.247	876.836	   NaN	   NaN	   NaN
