NO_OF_FRAMES	277
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	519.179	1054.776	1238.810	412.666	1037.441	1253.471	444.546	1287.902	1221.542	499.577	1301.907	1128.453	641.509	1086.105	1029.805	273.193	1383.139	1095.530	642.394	1012.642	706.473	84.637	1199.833	835.097	547.879	836.929	813.944	217.523	1036.942	931.167	544.800	1449.889	590.652	607.734	1194.441	605.767	292.540	1369.015	624.759	705.890	948.413	1410.758	271.157	965.626	795.472	666.133	661.920	863.992	1576.048	542.288	1206.258	1541.329	652.062	1195.934	1768.614	664.973	1228.437	1821.884	659.140	1072.758	1710.721	444.691	982.146	1710.853	869.386	1067.739	1583.710	379.700	694.468	1515.704	919.176	791.036	1409.979	351.710	814.277	1431.523	735.922	879.603	1875.704	722.712	576.983	1710.857	529.209	597.426	1675.176	885.039	605.503	1591.258	372.484	1432.571	1431.982	620.854	740.289	1314.753	171.271	890.738	1531.383	-641.289	1221.382	1557.552	-515.540	1213.855	1766.593	-609.823	1217.525	1791.013	-703.249	1106.796	1548.965	-759.217	1020.884	1868.300	-449.777	1081.717	1457.028	-699.974	701.736	1715.791	-266.512	901.495	1264.517	-588.322	757.939	1523.843	-362.646	966.809	1872.726	-735.033	621.907	1627.099	-759.935	609.965	1845.612	-482.126	610.506	1276.761	-874.027	1347.320	1470.057	-407.879	815.812	1023.574	-657.019	775.177	574.201	-1420.770	1218.412	756.549	-1398.398	1189.493	668.006	-1620.284	1228.371	706.424	-1664.324	1079.700	444.465	-1631.006	1036.058	901.038	-1486.561	978.653	311.878	-1588.948	720.568	952.114	-1368.845	655.524	404.097	-1439.673	892.999	827.777	-1211.253	775.160	719.727	-1824.996	522.956	487.254	-1744.132	571.182	897.253	-1632.508	565.482	139.396	-1052.698	850.175	823.549	-1142.264	707.288	   NaN	   NaN	   NaN
2	0.02000	519.744	1054.212	1238.642	413.264	1036.706	1253.362	444.778	1287.235	1221.455	499.761	1301.279	1128.414	641.958	1085.764	1029.560	273.286	1382.148	1095.802	642.770	1012.580	706.163	84.646	1198.588	835.566	548.561	837.287	813.209	217.982	1035.762	931.227	544.762	1449.816	590.712	607.678	1194.347	605.765	292.483	1368.902	624.810	707.381	949.196	1409.691	271.532	964.646	795.137	667.147	661.813	863.264	1575.959	541.642	1206.088	1541.283	651.479	1195.863	1768.604	664.224	1228.403	1821.878	658.631	1072.711	1710.752	444.279	981.820	1710.801	868.849	1067.937	1583.747	379.695	694.071	1515.591	918.889	791.351	1410.080	351.575	813.937	1431.505	735.525	879.757	1875.722	722.687	576.979	1710.887	529.147	597.395	1675.187	884.983	605.551	1591.431	370.657	1431.904	1431.951	620.760	740.280	1314.959	170.779	890.021	1530.343	-641.121	1220.847	1556.902	-515.447	1213.515	1765.645	-610.347	1217.674	1790.265	-703.482	1106.797	1548.308	-759.264	1020.496	1867.673	-449.956	1082.022	1456.894	-700.035	701.154	1715.566	-266.703	901.417	1264.225	-588.532	756.893	1523.530	-362.619	966.344	1872.668	-734.973	622.006	1627.092	-759.728	609.997	1845.989	-482.122	610.485	1276.029	-874.024	1346.758	1469.682	-408.084	815.360	1023.310	-656.560	774.216	574.214	-1420.762	1218.419	756.567	-1398.410	1189.481	668.026	-1620.273	1228.377	706.440	-1664.307	1079.703	444.477	-1630.996	1036.065	901.047	-1486.543	978.635	311.882	-1588.942	720.577	952.094	-1368.867	655.488	404.106	-1439.667	893.008	827.783	-1211.258	775.129	719.727	-1825.001	522.960	487.260	-1744.131	571.184	897.257	-1632.481	565.496	139.395	-1052.877	850.274	823.553	-1142.252	707.274	   NaN	   NaN	   NaN
3	0.03000	520.303	1053.645	1238.489	413.856	1035.954	1253.255	444.979	1286.558	1221.343	499.941	1300.634	1128.379	642.390	1085.412	1029.305	273.367	1381.157	1096.047	643.137	1012.548	705.811	84.659	1197.420	835.955	549.274	837.668	812.446	218.418	1034.561	931.157	544.727	1449.738	590.772	607.624	1194.257	605.760	292.419	1368.792	624.858	708.731	949.928	1408.658	271.916	963.723	794.750	668.227	661.723	862.494	1575.861	541.011	1205.912	1541.245	650.915	1195.801	1768.592	663.448	1228.361	1821.873	658.115	1072.677	1710.764	443.875	981.506	1710.754	868.309	1068.122	1583.771	379.686	693.689	1515.497	918.591	791.653	1410.155	351.412	813.591	1431.487	735.133	879.918	1875.739	722.661	576.976	1710.913	529.085	597.362	1675.201	884.929	605.604	1591.579	368.780	1431.249	1431.922	620.680	740.296	1315.118	170.322	889.351	1529.323	-640.877	1220.310	1556.342	-515.294	1213.201	1764.729	-610.935	1217.851	1789.553	-703.723	1106.792	1547.694	-759.272	1020.114	1867.092	-450.137	1082.311	1456.719	-700.087	700.610	1715.380	-266.874	901.358	1263.950	-588.664	755.909	1523.249	-362.588	965.888	1872.628	-734.934	622.104	1627.105	-759.539	610.026	1846.369	-482.133	610.456	1275.306	-873.960	1346.214	1469.414	-408.241	814.908	1023.073	-656.082	773.266	574.228	-1420.754	1218.428	756.594	-1398.456	1189.471	668.046	-1620.263	1228.382	706.453	-1664.290	1079.705	444.487	-1630.986	1036.070	901.055	-1486.527	978.614	311.889	-1588.937	720.581	952.078	-1368.889	655.451	404.115	-1439.663	893.014	827.787	-1211.263	775.096	719.729	-1825.007	522.962	487.266	-1744.129	571.185	897.262	-1632.454	565.511	139.402	-1053.035	850.420	823.553	-1142.244	707.256	   NaN	   NaN	   NaN
4	0.04000	520.868	1053.078	1238.336	414.454	1035.181	1253.140	445.140	1285.867	1221.224	500.116	1299.975	1128.348	642.806	1085.048	1029.036	273.443	1380.170	1096.275	643.501	1012.547	705.423	84.737	1196.400	836.260	550.016	838.026	811.673	218.839	1033.350	930.984	544.696	1449.658	590.834	607.570	1194.173	605.753	292.348	1368.688	624.906	709.957	950.610	1407.656	272.307	962.822	794.328	669.351	661.643	861.694	1575.748	540.402	1205.730	1541.220	650.371	1195.752	1768.581	662.639	1228.307	1821.862	657.599	1072.653	1710.756	443.482	981.208	1710.711	867.776	1068.298	1583.780	379.666	693.325	1515.424	918.282	791.948	1410.200	351.229	813.240	1431.465	734.747	880.086	1875.756	722.632	576.974	1710.938	529.022	597.325	1675.217	884.876	605.662	1591.704	366.866	1430.603	1431.894	620.611	740.336	1315.234	169.898	888.725	1528.325	-640.563	1219.774	1555.866	-515.086	1212.909	1763.845	-611.575	1218.044	1788.874	-703.968	1106.782	1547.137	-759.236	1019.738	1866.551	-450.323	1082.582	1456.512	-700.115	700.099	1715.229	-267.025	901.320	1263.696	-588.702	754.999	1522.981	-362.574	965.448	1872.616	-734.921	622.186	1627.132	-759.368	610.042	1846.749	-482.155	610.421	1274.577	-873.839	1345.689	1469.278	-408.354	814.465	1022.854	-655.588	772.331	574.240	-1420.744	1218.438	756.629	-1398.524	1189.463	668.065	-1620.251	1228.386	706.463	-1664.272	1079.706	444.495	-1630.974	1036.073	901.061	-1486.512	978.590	311.899	-1588.934	720.580	952.068	-1368.909	655.415	404.123	-1439.659	893.018	827.791	-1211.269	775.062	719.733	-1825.011	522.962	487.274	-1744.127	571.185	897.266	-1632.428	565.525	139.421	-1053.166	850.613	823.549	-1142.241	707.231	   NaN	   NaN	   NaN
5	0.05000	521.447	1052.515	1238.171	415.064	1034.378	1253.006	445.260	1285.153	1221.112	500.284	1299.304	1128.325	643.209	1084.675	1028.752	273.518	1379.186	1096.489	643.874	1012.575	705.015	84.904	1195.554	836.484	550.784	838.321	810.905	219.252	1032.177	930.746	544.671	1449.580	590.902	607.518	1194.095	605.748	292.275	1368.589	624.957	711.069	951.237	1406.683	272.711	961.887	793.899	670.500	661.567	860.877	1575.618	539.825	1205.542	1541.208	649.853	1195.720	1768.575	661.799	1228.241	1821.841	657.091	1072.630	1710.730	443.100	980.927	1710.673	867.255	1068.469	1583.775	379.625	692.977	1515.368	917.961	792.242	1410.219	351.037	812.889	1431.441	734.372	880.258	1875.772	722.599	576.975	1710.964	528.958	597.284	1675.236	884.824	605.724	1591.803	364.930	1429.964	1431.867	620.549	740.398	1315.310	169.499	888.133	1527.353	-640.189	1219.244	1555.464	-514.828	1212.636	1762.996	-612.247	1218.236	1788.224	-704.211	1106.766	1546.646	-759.152	1019.367	1866.046	-450.519	1082.837	1456.288	-700.104	699.615	1715.112	-267.156	901.306	1263.462	-588.644	754.163	1522.713	-362.592	965.031	1872.635	-734.936	622.240	1627.167	-759.210	610.041	1847.129	-482.186	610.382	1273.829	-873.666	1345.184	1469.277	-408.427	814.040	1022.646	-655.086	771.416	574.253	-1420.731	1218.445	756.664	-1398.586	1189.454	668.083	-1620.237	1228.389	706.471	-1664.254	1079.705	444.502	-1630.962	1036.072	901.067	-1486.498	978.564	311.908	-1588.930	720.577	952.062	-1368.925	655.379	404.130	-1439.656	893.018	827.796	-1211.277	775.030	719.737	-1825.012	522.960	487.281	-1744.126	571.184	897.270	-1632.402	565.539	139.451	-1053.261	850.846	823.541	-1142.242	707.196	   NaN	   NaN	   NaN
6	0.06000	522.039	1051.951	1237.984	415.686	1033.544	1252.844	445.342	1284.411	1221.020	500.442	1298.623	1128.311	643.603	1084.299	1028.459	273.589	1378.202	1096.692	644.272	1012.623	704.604	85.146	1194.851	836.641	551.580	838.534	810.138	219.665	1031.105	930.484	544.649	1449.506	590.981	607.471	1194.024	605.749	292.202	1368.496	625.014	712.074	951.808	1405.744	273.144	960.850	793.494	671.654	661.491	860.056	1575.468	539.281	1205.344	1541.203	649.366	1195.710	1768.579	660.936	1228.167	1821.806	656.593	1072.599	1710.684	442.727	980.663	1710.638	866.747	1068.640	1583.757	379.562	692.641	1515.320	917.638	792.530	1410.216	350.847	812.541	1431.416	734.007	880.435	1875.790	722.563	576.979	1710.995	528.891	597.238	1675.254	884.772	605.787	1591.875	362.985	1429.334	1431.836	620.492	740.479	1315.352	169.121	887.556	1526.417	-639.771	1218.723	1555.121	-514.539	1212.378	1762.184	-612.923	1218.408	1787.599	-704.447	1106.748	1546.214	-759.021	1018.999	1865.577	-450.729	1083.083	1456.057	-700.045	699.150	1715.030	-267.273	901.319	1263.247	-588.502	753.395	1522.440	-362.649	964.646	1872.680	-734.975	622.261	1627.204	-759.061	610.021	1847.505	-482.220	610.343	1273.053	-873.446	1344.698	1469.380	-408.461	813.643	1022.443	-654.579	770.526	574.266	-1420.714	1218.439	756.690	-1398.605	1189.440	668.101	-1620.219	1228.392	706.479	-1664.236	1079.704	444.507	-1630.950	1036.069	901.074	-1486.485	978.539	311.918	-1588.926	720.572	952.059	-1368.938	655.344	404.135	-1439.654	893.014	827.802	-1211.286	774.997	719.742	-1825.011	522.955	487.287	-1744.127	571.184	897.275	-1632.375	565.553	139.492	-1053.313	851.110	823.528	-1142.247	707.149	   NaN	   NaN	   NaN
7	0.07000	522.638	1051.378	1237.773	416.314	1032.681	1252.642	445.394	1283.640	1220.952	500.589	1297.938	1128.307	643.995	1083.932	1028.160	273.655	1377.217	1096.882	644.709	1012.678	704.206	85.429	1194.245	836.746	552.402	838.667	809.365	220.082	1030.164	930.222	544.632	1449.441	591.072	607.432	1193.959	605.758	292.131	1368.406	625.078	712.978	952.322	1404.845	273.635	959.682	793.128	672.801	661.411	859.241	1575.294	538.774	1205.137	1541.201	648.914	1195.721	1768.592	660.054	1228.094	1821.759	656.109	1072.559	1710.616	442.360	980.416	1710.603	866.246	1068.810	1583.728	379.479	692.312	1515.270	917.317	792.802	1410.196	350.668	812.195	1431.392	733.652	880.619	1875.809	722.526	576.984	1711.032	528.823	597.186	1675.270	884.721	605.851	1591.917	361.046	1428.716	1431.802	620.436	740.574	1315.367	168.760	886.980	1525.527	-639.332	1218.215	1554.821	-514.237	1212.131	1761.413	-613.577	1218.553	1786.995	-704.672	1106.730	1545.814	-758.856	1018.636	1865.147	-450.953	1083.325	1455.827	-699.938	698.700	1714.987	-267.378	901.362	1263.046	-588.293	752.688	1522.167	-362.741	964.301	1872.740	-735.029	622.250	1627.237	-758.920	609.986	1847.873	-482.259	610.309	1272.243	-873.187	1344.227	1469.529	-408.452	813.281	1022.242	-654.066	769.666	574.283	-1420.692	1218.409	756.700	-1398.558	1189.417	668.119	-1620.197	1228.396	706.487	-1664.219	1079.702	444.511	-1630.938	1036.062	901.081	-1486.472	978.517	311.926	-1588.922	720.567	952.056	-1368.949	655.312	404.137	-1439.653	893.008	827.808	-1211.295	774.964	719.745	-1825.010	522.950	487.292	-1744.129	571.183	897.279	-1632.349	565.567	139.544	-1053.316	851.392	823.510	-1142.256	707.089	   NaN	   NaN	   NaN
8	0.08000	523.231	1050.781	1237.539	416.938	1031.793	1252.390	445.426	1282.841	1220.912	500.728	1297.250	1128.310	644.392	1083.581	1027.860	273.713	1376.232	1097.057	645.187	1012.737	703.828	85.722	1193.693	836.809	553.243	838.744	808.587	220.503	1029.337	929.956	544.616	1449.385	591.174	607.406	1193.898	605.775	292.065	1368.314	625.148	713.793	952.785	1403.991	274.203	958.459	792.775	673.936	661.332	858.424	1575.095	538.300	1204.924	1541.196	648.498	1195.754	1768.609	659.160	1228.031	1821.703	655.636	1072.517	1710.523	441.996	980.183	1710.563	865.750	1068.977	1583.689	379.380	691.987	1515.213	917.004	793.050	1410.161	350.503	811.848	1431.368	733.304	880.810	1875.830	722.489	576.989	1711.075	528.755	597.127	1675.283	884.673	605.912	1591.925	359.121	1428.113	1431.763	620.378	740.678	1315.361	168.415	886.396	1524.688	-638.896	1217.729	1554.549	-513.941	1211.889	1760.686	-614.184	1218.667	1786.410	-704.886	1106.709	1545.408	-758.675	1018.276	1864.758	-451.190	1083.568	1455.599	-699.783	698.265	1714.986	-267.475	901.434	1262.855	-588.027	752.036	1521.909	-362.851	964.005	1872.801	-735.091	622.217	1627.263	-758.788	609.941	1848.226	-482.302	610.282	1271.397	-872.897	1343.770	1469.683	-408.401	812.954	1022.042	-653.543	768.840	574.304	-1420.665	1218.340	756.699	-1398.467	1189.385	668.135	-1620.169	1228.403	706.493	-1664.204	1079.700	444.513	-1630.928	1036.054	901.087	-1486.461	978.496	311.933	-1588.921	720.562	952.051	-1368.959	655.281	404.137	-1439.654	893.000	827.813	-1211.303	774.927	719.748	-1825.009	522.945	487.296	-1744.133	571.181	897.284	-1632.324	565.581	139.604	-1053.267	851.684	823.485	-1142.273	707.017	   NaN	   NaN	   NaN
9	0.09000	523.805	1050.149	1237.277	417.548	1030.885	1252.079	445.453	1282.018	1220.899	500.862	1296.562	1128.316	644.796	1083.247	1027.560	273.762	1375.247	1097.220	645.701	1012.798	703.465	85.995	1193.142	836.845	554.086	838.787	807.812	220.918	1028.580	929.670	544.601	1449.341	591.281	607.396	1193.842	605.795	292.004	1368.210	625.225	714.537	953.200	1403.176	274.850	957.387	792.360	675.056	661.258	857.593	1574.880	537.858	1204.712	1541.189	648.115	1195.809	1768.623	658.264	1227.976	1821.641	655.172	1072.483	1710.403	441.634	979.961	1710.514	865.259	1069.134	1583.643	379.271	691.664	1515.147	916.698	793.271	1410.112	350.350	811.497	1431.340	732.965	881.005	1875.852	722.454	576.993	1711.122	528.689	597.064	1675.291	884.629	605.972	1591.895	357.218	1427.527	1431.721	620.311	740.789	1315.338	168.084	885.800	1523.905	-638.484	1217.273	1554.294	-513.659	1211.649	1760.006	-614.732	1218.756	1785.846	-705.089	1106.686	1544.975	-758.493	1017.926	1864.412	-451.435	1083.812	1455.375	-699.584	697.848	1715.028	-267.570	901.536	1262.672	-587.718	751.434	1521.686	-362.957	963.772	1872.851	-735.157	622.176	1627.281	-758.666	609.890	1848.558	-482.350	610.264	1270.518	-872.581	1343.330	1469.831	-408.318	812.661	1021.843	-653.004	768.052	574.329	-1420.633	1218.218	756.695	-1398.366	1189.346	668.150	-1620.137	1228.411	706.498	-1664.188	1079.698	444.514	-1630.921	1036.047	901.091	-1486.452	978.479	311.938	-1588.922	720.555	952.047	-1368.969	655.252	404.135	-1439.656	892.992	827.814	-1211.309	774.888	719.749	-1825.009	522.940	487.297	-1744.138	571.179	897.288	-1632.298	565.595	139.670	-1053.167	851.976	823.454	-1142.300	706.936	   NaN	   NaN	   NaN
10	0.10000	524.351	1049.475	1236.984	418.135	1029.965	1251.709	445.486	1281.176	1220.915	500.995	1295.874	1128.319	645.210	1082.925	1027.263	273.804	1374.264	1097.371	646.240	1012.865	703.108	86.224	1192.552	836.863	554.914	838.818	807.054	221.319	1027.857	929.352	544.584	1449.310	591.390	607.405	1193.790	605.811	291.952	1368.086	625.309	715.233	953.570	1402.389	275.563	956.716	791.800	676.162	661.189	856.735	1574.660	537.444	1204.512	1541.180	647.762	1195.883	1768.623	657.378	1227.908	1821.573	654.711	1072.465	1710.256	441.274	979.748	1710.456	864.776	1069.281	1583.589	379.154	691.349	1515.072	916.395	793.467	1410.051	350.207	811.146	1431.304	732.640	881.199	1875.873	722.421	576.995	1711.168	528.625	597.001	1675.296	884.590	606.029	1591.828	355.344	1426.957	1431.676	620.235	740.904	1315.295	167.769	885.196	1523.180	-638.100	1216.852	1554.050	-513.390	1211.410	1759.373	-615.218	1218.829	1785.302	-705.284	1106.659	1544.515	-758.314	1017.588	1864.109	-451.686	1084.053	1455.159	-699.339	697.451	1715.112	-267.665	901.662	1262.495	-587.376	750.880	1521.509	-363.046	963.611	1872.882	-735.227	622.135	1627.288	-758.555	609.838	1848.862	-482.402	610.254	1269.605	-872.248	1342.909	1469.983	-408.213	812.402	1021.646	-652.443	767.306	574.358	-1420.598	1218.047	756.694	-1398.279	1189.303	668.161	-1620.104	1228.420	706.501	-1664.173	1079.696	444.513	-1630.914	1036.037	901.094	-1486.444	978.464	311.944	-1588.926	720.548	952.043	-1368.977	655.225	404.131	-1439.658	892.983	827.811	-1211.313	774.846	719.751	-1825.009	522.937	487.298	-1744.141	571.177	897.292	-1632.272	565.609	139.740	-1053.020	852.258	823.418	-1142.337	706.848	   NaN	   NaN	   NaN
